receptor,length,weight,pI,A Total,A Percent,R Total,R Percent,N Total,N Percent,D Total,D Percent,C Total,C Percent,Q Total,Q Percent,E Total,E Percent,G Total,G Percent,H Total,H Percent,I Total,I Percent,L Total,L Percent,K Total,K Percent,M Total,M Percent,F Total,F Percent,P Total,P Percent,S Total,S Percent,T Total,T Percent,W Total,W Percent,Y Total,Y Percent,V Total,V Percent,totalNeg,totalPos,percentNeg,percentPos,carbon,hydrogen,nitrogen,oxygen,sulfur,totalAtoms,percentCarbon,percentHydrogen,percentNitrogen,percentOxygen,percentSulfur,ec1,ec1abs,ec2,ec2abs,halflife,ii,ai,gravy,tinyTotal,tinyPercent,smallTotal,smallPercent,aliphaticTotal,aliphaticPercent,nonpolarTotal,nonpolarPercent,aromaticTotal,aromaticPercent,polarTotal,polarPercent,chargedTotal,chargedPercent,basicTotal,basicPercent,acidicTotal,acidicPercent,hydrophobicTotal,hydrophobicPercent,hydrophilicTotal,hydrophilicPercent
O75116expasy,1388,160899.83,5.75,83,6.0,76,5.5,67,4.8,90,6.5,20,1.4,91,6.6,156,11.2,46,3.3,27,1.9,66,4.8,149,10.7,144,10.4,41,3.0,37,2.7,49,3.5,85,6.1,58,4.2,11,0.8,33,2.4,59,4.3,246,220,0.177,0.159,7019,11335,1983,2215,61,22613,0.310,0.501,0.088,0.098,0.003,110920,0.689,109670,0.682,30,56.73,78.72,-0.843,292,0.210,557,0.401,274,0.197,594,0.428,108,0.078,794,0.572,493,0.355,247,0.178,246,0.177,499,0.360,548,0.395
O95136expasy,353,38866.98,9.21,31,8.8,19,5.4,11,3.1,5,1.4,11,3.1,7,2.0,12,3.4,20,5.7,11,3.1,21,5.9,56,15.9,9,2.5,6,1.7,13,3.7,15,4.2,31,8.8,20,5.7,6,1.7,14,4.0,35,9.9,17,28,0.048,0.079,1783,2835,465,471,17,5571,0.320,0.509,0.083,0.085,0.003,54485,1.402,53860,1.386,30,50.67,122.61,0.603,113,0.320,179,0.507,112,0.317,228,0.646,44,0.125,125,0.354,56,0.159,39,0.110,17,0.048,193,0.547,44,0.125
P00748expasy,615,67792.09,8.04,53,8.6,40,6.5,13,2.1,22,3.6,40,6.5,37,6.0,32,5.2,49,8.0,27,4.4,9,1.5,61,9.9,19,3.1,5,0.8,16,2.6,56,9.1,38,6.2,35,5.7,13,2.1,19,3.1,31,5.0,54,59,0.088,0.096,2970,4585,871,866,45,9337,0.318,0.491,0.093,0.093,0.005,102310,1.509,99810,1.472,30,47.50,67.63,-0.411,215,0.350,337,0.548,101,0.164,352,0.572,75,0.122,263,0.428,140,0.228,86,0.140,54,0.088,247,0.402,123,0.200
P03372expasy,595,66216.00,8.30,47,7.9,35,5.9,25,4.2,24,4.0,13,2.2,25,4.2,36,6.1,47,7.9,22,3.7,19,3.2,73,12.3,29,4.9,27,4.5,15,2.5,35,5.9,45,7.6,25,4.2,5,0.8,23,3.9,25,4.2,60,64,0.101,0.108,2910,4604,828,859,40,9241,0.315,0.498,0.090,0.093,0.004,62520,0.944,61770,0.933,30,45.88,80.39,-0.354,177,0.297,286,0.481,117,0.197,329,0.553,65,0.109,266,0.447,146,0.245,86,0.145,60,0.101,247,0.415,139,0.234
P03951expasy,625,70109.13,8.47,30,4.8,29,4.6,21,3.4,28,4.5,36,5.8,27,4.3,31,5.0,43,6.9,22,3.5,38,6.1,46,7.4,41,6.6,6,1.0,29,4.6,24,3.8,51,8.2,53,8.5,10,1.6,22,3.5,38,6.1,59,70,0.094,0.112,3100,4827,855,918,42,9742,0.318,0.495,0.088,0.094,0.004,90030,1.284,87780,1.252,30,39.90,74.85,-0.263,213,0.341,324,0.518,122,0.195,322,0.515,83,0.133,303,0.485,151,0.242,92,0.147,59,0.094,255,0.408,148,0.237
P07900expasy,732,84659.71,4.94,34,4.6,30,4.1,31,4.2,54,7.4,7,1.0,25,3.4,97,13.3,32,4.4,12,1.6,50,6.8,62,8.5,80,10.9,20,2.7,25,3.4,21,2.9,42,5.7,43,5.9,4,0.5,25,3.4,38,5.2,151,110,0.206,0.150,3728,5944,986,1201,27,11886,0.314,0.500,0.083,0.101,0.002,59625,0.704,59250,0.700,30,41.94,79.37,-0.750,158,0.216,302,0.413,150,0.205,318,0.434,66,0.090,414,0.566,273,0.373,122,0.167,151,0.206,265,0.362,287,0.392
P08311expasy,255,28837.22,11.19,16,6.3,34,13.3,11,4.3,8,3.1,6,2.4,17,6.7,10,3.9,22,8.6,6,2.4,13,5.1,26,10.2,4,1.6,6,2.4,8,3.1,15,5.9,15,5.9,14,5.5,3,1.2,5,2.0,16,6.3,18,38,0.071,0.149,1255,2040,404,354,12,4065,0.309,0.502,0.099,0.087,0.003,24325,0.844,23950,0.831,30,60.87,84.12,-0.433,73,0.286,123,0.482,55,0.216,136,0.533,22,0.086,119,0.467,62,0.243,44,0.173,18,0.071,99,0.388,50,0.196
P08482expasy,460,51368.85,9.44,36,7.8,31,6.7,15,3.3,10,2.2,15,3.3,13,2.8,25,5.4,30,6.5,2,0.4,18,3.9,54,11.7,25,5.4,12,2.6,16,3.5,30,6.5,37,8.0,34,7.4,13,2.8,16,3.5,28,6.1,35,56,0.076,0.122,2311,3655,623,646,27,7262,0.318,0.503,0.086,0.089,0.004,96215,1.873,95340,1.856,30,49.43,86.52,-0.078,152,0.330,235,0.511,100,0.217,268,0.583,47,0.102,192,0.417,93,0.202,58,0.126,35,0.076,208,0.452,88,0.191
P17612expasy,351,40589.67,8.84,23,6.6,15,4.3,16,4.6,18,5.1,2,0.6,14,4.0,27,7.7,22,6.3,9,2.6,21,6.0,32,9.1,35,10.0,7,2.0,25,7.1,14,4.0,17,4.8,14,4.0,6,1.7,14,4.0,20,5.7,45,50,0.128,0.142,1861,2861,485,517,9,5733,0.325,0.499,0.085,0.090,0.002,53985,1.330,53860,1.327,30,32.24,81.97,-0.409,78,0.222,146,0.416,73,0.208,186,0.530,54,0.154,165,0.470,104,0.296,59,0.168,45,0.128,150,0.427,110,0.313
P21453expasy,382,42810.79,9.59,23,6.0,19,5.0,19,5.0,10,2.6,13,3.4,2,0.5,10,2.6,17,4.5,7,1.8,36,9.4,52,13.6,23,6.0,10,2.6,20,5.2,12,3.1,43,11.3,22,5.8,5,1.3,15,3.9,24,6.3,20,42,0.052,0.110,1957,3128,502,524,23,6134,0.319,0.510,0.082,0.085,0.004,50600,1.182,49850,1.164,30,47.03,114.08,0.441,118,0.309,183,0.479,112,0.293,227,0.594,47,0.123,155,0.406,69,0.181,49,0.128,20,0.052,198,0.518,64,0.168
P21728expasy,446,49293.39,8.64,39,8.7,20,4.5,21,4.7,15,3.4,16,3.6,9,2.0,17,3.8,18,4.0,7,1.6,38,8.5,41,9.2,19,4.3,9,2.0,27,6.1,21,4.7,47,10.5,29,6.5,9,2.0,10,2.2,34,7.6,32,39,0.072,0.087,2234,3504,578,627,25,6968,0.321,0.503,0.083,0.090,0.004,65400,1.327,64400,1.306,30,37.00,99.93,0.335,149,0.334,240,0.538,113,0.253,262,0.587,53,0.119,184,0.413,78,0.175,46,0.103,32,0.072,223,0.500,81,0.182
Q03137expasy,986,109813.85,6.12,69,7.0,58,5.9,48,4.9,57,5.8,28,2.8,35,3.5,59,6.0,67,6.8,13,1.3,60,6.1,64,6.5,51,5.2,26,2.6,32,3.2,46,4.7,78,7.9,59,6.0,15,1.5,39,4.0,82,8.3,116,109,0.118,0.111,4835,7603,1335,1478,54,15305,0.316,0.497,0.087,0.097,0.004,142360,1.296,140610,1.280,30,37.85,80.16,-0.279,301,0.305,534,0.542,206,0.209,528,0.535,99,0.100,458,0.465,238,0.241,122,0.124,116,0.118,415,0.421,250,0.254
Q05397expasy,1052,119233.01,6.19,66,6.3,62,5.9,36,3.4,53,5.0,14,1.3,54,5.1,84,8.0,60,5.7,27,2.6,58,5.5,100,9.5,63,6.0,34,3.2,30,2.9,69,6.6,81,7.7,51,4.8,14,1.3,38,3.6,58,5.5,137,125,0.130,0.119,5284,8335,1459,1587,48,16713,0.316,0.499,0.087,0.095,0.003,134495,1.128,133620,1.121,30,52.50,80.84,-0.490,272,0.259,488,0.464,216,0.205,541,0.514,109,0.104,511,0.486,289,0.275,152,0.144,137,0.130,412,0.392,290,0.276
Q13285expasy,461,51635.91,7.81,34,7.4,24,5.2,12,2.6,22,4.8,17,3.7,30,6.5,27,5.9,33,7.2,12,2.6,13,2.8,62,13.4,27,5.9,12,2.6,18,3.9,41,8.9,17,3.7,16,3.5,2,0.4,18,3.9,24,5.2,49,51,0.106,0.111,2314,3640,628,653,29,7264,0.319,0.501,0.086,0.090,0.004,38820,0.752,37820,0.732,30,55.65,85.92,-0.276,117,0.254,216,0.469,99,0.215,274,0.594,50,0.108,187,0.406,112,0.243,63,0.137,49,0.106,200,0.434,118,0.256
