TTDDrugID	TTDTargetID	targetName	actions
D03YLE	T85435	Insulin receptor	Binder
D06SVW	T85435	Insulin receptor	Binder
D0L6JE	T85435	Insulin receptor	Binder
D07MEH	T85435	Insulin receptor	Stimulator
D09PPG	T85435	Insulin receptor	Inhibitor
D05FGG	T74456	Type-1 angiotensin II receptor	Modulator
D0D5SQ	T74456	Type-1 angiotensin II receptor	Antagonist
D0T7US	T74456	Type-1 angiotensin II receptor	Antagonist
D00NVX	T74456	Type-1 angiotensin II receptor	Antagonist
D00JAU	T74456	Type-1 angiotensin II receptor	Antagonist
D0DD0K	T74456	Type-1 angiotensin II receptor	Antagonist
D07UBG	T74456	Type-1 angiotensin II receptor	Antagonist
D0B9AO	T74456	Type-1 angiotensin II receptor	Antagonist
D0K0AT	T74456	Type-1 angiotensin II receptor	Inhibitor
D00VFE	T74456	Type-1 angiotensin II receptor	Modulator
D0M7TO	T74456	Type-1 angiotensin II receptor	Antagonist
D0N6RF	T74456	Type-1 angiotensin II receptor	Antagonist
D06UDG	T74456	Type-1 angiotensin II receptor	Antagonist
D05UFG	T59328	Epidermal growth factor receptor	Inhibitor
D00ZHQ	T59328	Epidermal growth factor receptor	Activator
D08TPS	T59328	Epidermal growth factor receptor	Modulator
D07POC	T59328	Epidermal growth factor receptor	Inhibitor
D09XZB	T59328	Epidermal growth factor receptor	Inhibitor
D08CDI	T59328	Epidermal growth factor receptor	Inhibitor
D0F0ZE	T59328	Epidermal growth factor receptor	Inhibitor
D0G6QF	T59328	Epidermal growth factor receptor	Inhibitor
D02VPX	T34234	Vitamin D receptor	Antagonist
D06GSS	T34234	Vitamin D receptor	Modulator
D01QUS	T34234	Vitamin D receptor	Antagonist
D0K5WS	T34234	Vitamin D receptor	Binder
D0G8OC	T34234	Vitamin D receptor	Antagonist
D0G5CF	T34234	Vitamin D receptor	Antagonist
D06JPB	T34234	Vitamin D receptor	Antagonist
D0N1TP	T34234	Vitamin D receptor	Agonist
D05UFG	T14597	Receptor protein-tyrosine kinase erbB-2	Inhibitor
D08CDI	T14597	Receptor protein-tyrosine kinase erbB-2	Inhibitor
D0U3YB	T14597	Receptor protein-tyrosine kinase erbB-2	Modulator
D0F0ZE	T14597	Receptor protein-tyrosine kinase erbB-2	Inhibitor
