,cid,smiles
0,16078,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
1,4020,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1
2,4021,CC1=NN(C(=O)C1)C1=CC=CC=C1
3,60750,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
4,5988,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
5,452306,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO
6,5983,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C
7,51263,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
8,3998,NCC1=CC=C(C=C1)S(N)(=O)=O
9,16684434,CC[Hg]SC1=CC=CC=C1C(=O)O[Na]
10,5280934,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
11,4684,OC1=CC=C(Cl)C=C1
12,9552079,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
13,3002190,[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CC=CN=C1
14,4737,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
15,4735,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
16,2315,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
17,5857,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
18,5280805,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
19,5852,[H][C@](N)(C(O)=O)C(C)(C)S
20,60825,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
21,60823,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
22,4117,CNC(C)CC1=CC=CC=C1OC
23,3776,CC(C)O
24,3775,CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C
25,21109,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
26,3779,CC(C)NCC(O)C1=CC(O)=C(O)C=C1
27,16490,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
28,6291,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3
29,5284583,CC[C@H](N1CCCC1=O)C(N)=O
30,5284585,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
31,152951,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
32,43507,[H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O
33,2266,OC(=O)CCCCCCCC(O)=O
34,2267,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
35,2265,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
36,2442,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1
