,cid,smiles
0,23994,[Zn]
1,16078,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
2,23724967,[Gd+3].OCCCC1=C(/C/2=C/N=c\3/c(=N/C=C/4\N=C(C(=C4C)CCCO)/C=c/4\[n-]/c(=C\C1=N2)/c(c4CC)CC)/cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c3)C.[O-]C(=O)C.[O-]C(=O)C.O
3,22178220,[Fe+3].C(=O)([O-])C(CC(=O)[O-])(O)CC(=O)[O-]
4,16051928,Ic1cn(C2O[C@@H]([C@@H](O)C2)CO)c(=O)[nH]c1=O
5,4020,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1
6,4021,CC1=NN(C(=O)C1)C1=CC=CC=C1
7,14989482,[Cl-].C[N+](C)([11CH3])CCO
8,60750,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
9,22660,CCCCCCCCCCCC(=O)OCCNC(=O)C[N+]1=CC=CC=C1
10,5988,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
11,441243,[H][C@@](O)(CN1C[C@@]2([H])CCCC[C@@]2([H])C[C@@]1([H])C(O)=NC(C)(C)C)[C@]([H])(CC1=CC=CC=C1)N=C(O)[C@]([H])(CC(O)=N)NC(=O)C1=NC2=CC=CC=C2C=C1
12,452306,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO
13,5983,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C
14,51263,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
15,5984,O[C@H]([C@H](O)CO)[C@H](O)C(=O)CO
16,1549789,COC1=CC=C(\C=C\C(=O)OCCC(C)C)C=C1
17,92879,N12[C@@H]([C@@H](C1=O)NC(=O)C(Oc1ccccc1)CC)SC([C@@H]2C(=O)O)(C)C
18,3998,NCC1=CC=C(C=C1)S(N)(=O)=O
19,71768094,CC1=CC=C(SC2=CC=CC=C2N2CCNCC2)C(C)=C1
20,60149,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
21,19150,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](N)c2ccccc2)C(=C(C1)COC(=O)C)C(=O)O
22,66828839,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC\C=C\C(F)(F)C2=NC3=C(C=CC=C3)N=C2O[C@@H]2C[C@H](N(C2)C1=O)C(=O)N[C@@]1(C[C@H]1C(F)F)C(=O)NS(=O)(=O)C1(C)CC1
23,16684434,CC[Hg]SC1=CC=CC=C1C(=O)O[Na]
24,5280934,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
25,12043008,S1CC(O[C@H]1CO)n1cc(F)c(nc1=O)N
26,4932,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1
27,9552079,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
28,5280933,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O
29,49766729,S=P(OC1C(OC(n2cc(c(=O)[nH]c2=O)C)C1)COP(=S)(OC1C(OC(n2cc(c(=O)[nH]c2=O)C)C1)COP(=S)(OC1C(OC(n2cc(c(=O)[nH]c2=O)C)C1)COP(=S)(OC1C(OC(n2c3nc([nH]c(=O)c3nc2)N)C1)COP(=S)(OC1C(OC(n2ccc(nc2=O)N)C1)COP(=S)(OC1C(OC(n2c3nc([nH]c(=O)c3nc2)N)C1)COP(=S)(O)O)O)O)O)O)O)(OCC1OC(n2c3nc([nH]c(=O)c3nc2)N)CC1OP(=S)(OCC1OC(n2ccc(nc2=O)N)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2ccc(nc2=O)N)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=O)(S)OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2ccc(nc2=O)N)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2ccc(nc2=O)N)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2cc(c(=O)[nH]c2=O)C)CC1OP(=S)(OCC1OC(n2c3nc([nH]c(=O)c3nc2)N)CC1OP(=S)(OCC1OC(n2ccc(nc2=O)N)CC1OP(=S)(OCC1OC(n2c3nc([nH]c(=O)c3nc2)N)CC1O)O)O)O)O)O)O)O)O)O)O)O)O)O)O
30,6151,CCC(C)C(C)(COC(N)=O)COC(N)=O
31,3002190,[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CC=CN=C1
32,130881,OC(c1nc(n(c1C(=O)OCc1oc(=O)oc1C)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1)CCC)(C)C
33,24989044,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21
34,24873435,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3[C@@H](C[C@H](Oc4c5c(nc(c4)c4scc(n4)C(C)C)c(c(OC)cc5)C)C3)C(=O)N(CCCC/C=C\[C@@H]1C2)C)C1CC1
35,4737,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
36,4735,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
