,cid,pid,activity
0,5280793,EDT84149,0
1,247839,2VM6_A,0
2,5920,YP_001085402,0
3,5284513,1ZHH_B,0
4,5665,YP_001085402,0
5,6305,ACF54603,0
6,4760,YP_016573,0
7,5281718,AAS58777,0
8,443936,XP_717710,0
9,774,AAG02439,0
10,4409,XP_717710,0
11,6852391,3EVG_A,0
12,28417,O86157,0
13,2466,P98170,0
14,2153,O00764,1
15,4173,CAM24989,0
16,30541,P0AF67,0
17,3955,NP_652928,0
18,10621,NP_652928,0
19,2145,2W2I_A,0
20,5994,P65502,0
21,4171,2VM6_A,0
22,5870,2QQI_A,0
23,5952,AAH92442,0
24,4472,CAI16307,0
25,6126,3EVG_A,0
26,896,2ISV_A,0
27,2170,AAH92442,0
28,5333,ADQ57959,0
29,5994,2VM6_A,0
30,5280489,1ZHH_B,0
31,2159,1OQA_A,0
32,39147,2A88_A,0
33,2723,O86157,0
34,3715,NP_988635,0
35,39912,1C3B_A,0
36,3598,O95372,0
37,5282494,CAH72619,0
38,2082,ACF54603,0
39,2266,CCE37082,0
40,34312,AAS58777,0
41,54677470,CAA56931,0
42,5560,AAQ89316,0
43,2345,NP_055369,0
44,1676,O95372,0
45,24066,AAA34498,0
46,5353788,CAQ07474,0
47,5977,P21700,0
48,6279,ADQ57959,0
49,72385,2W2I_A,0
50,7699,XP_717710,0
51,4495,YP_016573,0
52,4474,AAC57158,0
53,564,AAA51534,0
54,441401,ACA62796,0
55,14985,2VM6_A,0
56,1983,YP_001331689,0
57,6172,AAB59829,0
58,4621,AAN35928,0
59,2763,AAA34498,0
60,6234,BAA05005,0
61,6010,2WWY_A,0
62,82146,AAC57158,0
63,65016,1ME3_A,0
64,5311067,ABY84639,0
65,68617,1DE9_A,0
66,5430,3F32_A,0
67,86472,1DE9_A,0
68,4848,P0AF67,0
69,2247,YP_001331689,0
70,5634,1JY1_A,0
71,3440,1ME3_A,0
72,2247,AAG02439,0
73,5904,O86157,0
74,5881,AAA34498,0
75,5281004,CCE37082,0
76,30668,Q99VQ4,0
77,7180,YP_001315171,0
78,32798,AAZ82016,0
79,44093,2A88_A,0
80,5961,2O23_A,0
81,451668,AAA34498,0
82,65999,1RA7_A,0
83,5002,AAA51534,0
84,5959,P55210,0
85,10133,1RA7_A,0
86,5311,CAA84846,0
87,3675,1C3B_A,0
88,44093,AAG02439,0
89,25126798,ACA62796,1
90,275196,AAA51985,0
91,2581,3F32_A,0
92,3463,AAC57158,0
93,65981,2VM6_A,0
94,8955,NP_055369,0
95,4632,ABY84639,0
96,115237,AAP13898,0
97,3610,1DE9_A,0
98,4753,1ME3_A,0
99,4174,P9WFX0,0
100,82153,YP_002440506,0
101,2720,ABJ55414,0
102,67678,P11021,0
103,5754,1RA7_A,0
104,3038,1JY1_A,0
105,5362119,ABN45876,0
106,4748,CAA52898,0
107,3599,2O23_A,0
108,5479,P98170,0
109,5281613,1DE9_A,0
110,5325,AAC57158,0
111,9429,2VM6_A,0
112,2123,AAX80043,0
113,3676,3F32_A,0
114,275196,AAC57158,0
115,5744,P21700,0
116,7619,CAC24715,0
117,3827,P0AF67,0
118,3478,1QCY_A,0
119,2904,CAQ07474,0
120,33741,P21700,0
121,47811,2WWY_A,0
122,6674,ABC47431,0
123,110635,NP_055369,0
124,4436,2O23_A,0
125,151166,P08659,0
126,1548943,2W2I_A,0
127,4499,ABY84639,0
128,6049,BAA05005,0
129,6230,P55210,0
130,3108,AAA51534,0
131,71771,1DE9_A,0
132,2375,1C3B_A,0
133,2904,NP_652928,0
134,6741,CAI16307,0
135,4114,CAQ07474,0
136,119,CAA81943,0
137,969516,2VM6_A,0
138,445154,ABY84639,0
139,4173,P55210,0
140,7405,P21700,0
141,16362,NP_055369,0
142,26248,YP_815859,0
143,4993,AAZ82016,0
144,3033637,XP_717710,0
145,4211,AAA51534,0
146,2581,Q99VQ4,0
147,4891,2VM6_A,0
148,5342,ADQ57959,0
149,5284607,1DE9_A,0
150,1983,2ISV_A,0
151,6291,1DTQ_A,0
152,66377,CAC24715,0
153,5952,Q02499,0
154,156391,P08659,0
155,3735,YP_002440506,0
156,3735,1C3B_A,0
157,688561,AAD17299,0
158,65981,2O23_A,0
159,5734,2VM6_A,0
160,5282381,Q99VQ4,0
161,5355,O95372,0
162,5311,1ZHH_B,0
163,3278,AAA24585,0
164,3168,AAG02439,0
165,8768,ABC47431,0
166,4594,CAI16307,0
167,54675779,1ME3_A,0
168,92253,1DE9_A,0
169,4021,2W2I_A,0
170,439501,AAH92442,0
171,15209,AAQ89316,0
172,9642,AAC57158,0
173,39042,1ZHH_A,0
174,5284550,2W2I_A,0
175,53025,YP_016573,0
176,3108,AAG29538,0
177,5447130,3F32_A,0
178,4449,2QQI_A,0
179,5283731,2WWY_A,0
180,2471,AAA51534,0
181,12560,1RA7_A,0
182,5430,2W2I_A,0
183,84088,P08659,0
184,5394,O86157,0
185,2165,ABN45876,0
186,4723,AAS58777,0
187,5426,AAQ89316,0
188,5386,P65502,0
189,443958,CAI16307,0
190,4976,P0AF67,0
191,5790,BAA05005,0
192,54676038,2ISV_A,0
193,5326,P9WFX0,0
194,2576,3EVG_A,0
195,5870,AAG29538,0
196,2723601,NP_652928,0
197,10607,YP_002440506,0
198,4843,1JY1_A,0
199,4837,BAA05005,0
200,5865,AAC83551,0
201,6231,CAA84846,0
202,6041,AAX80043,0
203,2803,ACA62796,0
204,5576,1RA7_A,0
205,3440,1DE9_A,0
206,2148,1DE9_A,0
207,5401,P55210,0
208,2950,NP_652928,0
209,1549008,AAC57158,0
210,667550,XP_717710,0
211,4883,Q05DJ8,0
212,3314,3S0B_A,1
213,5717,ABN45876,0
214,71771,2VM6_A,0
215,4913,AAB59829,0
216,19529,YP_002440506,0
217,2723601,AAQ89316,0
218,53232,YP_815860,0
219,5920,P65502,0
220,54726191,3OYN_A,1
221,2708,CAQ07474,0
222,2266,P08659,0
223,2202,ABC47431,0
224,8708,1RA7_A,0
225,4993,1DE9_A,0
226,5325,CAA96025,0
227,5355,YP_001331689,0
228,4197,P11021,0
229,44093,EMB09144,0
230,4843,AAA34498,0
231,4097,1JY1_A,0
232,3000226,O95372,0
233,5566,P11021,0
234,68844,2QQS_A,0
235,4409,AAX80043,0
236,443936,AAA51534,0
237,449171,Q92570,1
238,2200,1DE9_A,0
239,5323,CAA97545,0
240,5311221,Q9F4F7,0
241,2733526,2WWY_A,0
242,1989,NP_988635,0
243,39147,CAA52898,0
244,54676228,AAC46381,0
245,3672,1ZHH_B,0
246,4909,1C3B_A,0
247,34359,2WWY_A,0
248,4044,AAS58777,0
249,5401,NP_652928,0
250,443943,CAA96025,0
251,5358,2O23_A,0
252,2722,Q9F4F7,0
253,5329,P0AF67,0
254,2197,2QQI_A,0
255,6234,1PB8_A,1
256,5468,P9WFX0,0
257,31401,AAN87168,0
258,35370,P0AF67,0
259,392622,AAH92442,0
260,5920,1DE9_A,0
261,31401,3F32_A,0
262,5320,P55210,0
263,5572,P11021,0
264,130313,Q99VQ4,0
265,4235,AAX80043,0
266,2794,P11021,0
267,7184,ABY84639,0
268,2266,AAN87168,0
269,5732,YP_001331689,0
270,2723,1ZHH_B,0
271,65492,P9WFX0,0
272,785,XP_717710,0
273,5865,Q05DJ8,0
274,5362065,1N8E_E,0
275,10621,CAI16307,0
276,644241,ACA62796,0
277,33032,CAQ07474,1
278,6437380,CAQ07474,0
279,31307,2ISV_A,0
280,130313,1JY1_A,0
281,66377,AAC46381,0
282,2187,AAN87168,0
283,4497,AAN35928,0
284,5335,Q05DJ8,0
285,1046,AAA51534,0
286,5757,CAI16307,0
287,2391,P55210,0
288,16684434,AAX80043,1
289,129228,CAA56931,0
290,3672,P08659,0
291,7175,CAQ07474,0
292,2520,P9WFX0,0
293,5333,CAA96025,0
294,124087,BAA05005,0
295,54677470,2O23_A,0
296,20313,2O23_A,0
297,3034010,ADQ57959,0
298,154417,CAI16307,0
299,3893,AAQ89316,0
300,31593,ABY84639,0
301,3883,AAN35928,0
302,2123,AAA60529,0
303,15209,P08659,0
304,16124,Q9NPC2,0
305,3739,P9WFX0,0
306,24503,AAX80043,0
307,3025,P08659,0
308,2216,AAD17299,0
309,3339,2QQI_A,0
310,54675776,AAA51985,0
311,16623,ABM67533,0
312,4211,P9WQ59,0
313,2723601,2O23_A,0
314,169870,2ISV_A,0
315,5656,P08659,0
316,5505,BAC78638,0
317,3372,1JY1_A,0
318,154417,O86157,0
319,31703,O52691,1
320,4684,EDT84149,0
321,2448,EDT84149,0
322,3339,EMB09144,0
323,4197,AAP13898,0
324,4891,AAS58777,0
325,13109,AAA34498,0
326,5280360,1OQA_A,0
327,91610,P08659,0
328,5757,CAC24715,0
329,2972,XP_717710,0
330,119570,AAX80043,0
331,74989,2QQI_A,0
332,3672,3EVG_A,0
333,2148,CAA84846,0
334,3767,1OQA_A,0
335,4184,ACA62796,1
336,3108,AAQ89316,0
337,2478,AAC46381,0
338,64143,1C3B_A,0
339,54726191,Q76353,1
340,4236,BAA05005,0
341,4421,3EVG_A,0
342,72385,BAA05005,0
343,4170,AAX80043,0
344,4075,NP_652928,0
345,65981,CAA84846,0
346,9782,CCE37082,0
347,6852391,1QCY_A,0
348,60606,2QQI_A,0
349,5564,AAA51534,0
350,7547,P55210,0
351,55245,CAA81943,0
352,5311412,P65502,0
353,5904,YP_002440506,0
354,4911,P11021,0
355,8768,P9WQ59,0
356,4121,Q9F4F7,0
357,610479,ABC47431,0
358,11273,BAC78637,0
359,119182,P08659,0
360,6305,AAA51985,0
361,5284373,AAN35928,0
362,9642,YP_016573,0
363,2732,P55210,0
364,2955,AAC57158,0
365,10607,AAQ89316,0
366,5280934,YP_001085402,0
367,5754,YP_001085402,0
368,119607,AAN87168,0
369,3742,ADQ57959,0
370,1046,EMB09144,0
371,5503,YP_815859,0
372,2141,P11021,0
373,5359,O86157,0
374,5576,2O23_A,0
375,20279,1ME3_A,0
376,3291,YP_001331689,0
377,5215,2O23_A,0
378,2788,AAA24585,0
379,3478,NP_988635,0
380,47528,2ISV_A,0
381,41781,AAC83551,0
382,5401,AAA24585,0
383,3958,3F32_A,0
384,2118,1C3B_A,0
385,7619,AAZ82016,0
386,2720,P11411,0
387,4837,YP_001085402,0
388,32798,P65502,0
389,17134,3F32_A,0
390,3702,AAS58777,0
391,3899,2QQI_A,0
392,71329,P98170,0
393,13109,P55210,0
394,5775,P11411,0
395,5359,1ME3_A,0
396,6604200,1RA7_A,0
397,5310993,Q9F4F7,0
398,2761171,1ME3_A,0
399,5578,3FL8_A,1
400,446284,1DE9_A,0
401,9642,2QQS_A,0
402,3339,1ME3_A,0
403,666418,AAC83551,0
404,4507,P55210,0
405,2794,Q02499,0
406,4173,1JY1_A,0
407,4114,YP_815859,0
408,444,AAX80043,0
409,3335,CAA56931,0
410,460612,2VM6_A,0
411,1030,P55210,0
412,16231,CAI16307,0
413,5161,3F32_A,0
414,5775,O86157,0
415,5959,1N8E_E,0
416,3331,AAA34498,0
417,6726,2ISV_A,0
418,47965,YP_001331689,0
419,2153,1DE9_A,0
420,2732,AAA34498,0
421,3742,AAA51534,0
422,4495,2QQI_A,0
423,996,3F32_A,1
424,5353788,AAS58777,0
425,4121,ADQ57959,0
426,3739,CAC24715,0
427,3151,AAQ89316,0
428,2733,BAC78638,0
429,5426,2W2I_A,0
430,5665,2W2I_A,0
431,3372,1ME3_A,0
432,13109,2QQS_A,0
433,667476,1ZHH_B,0
434,5505,YP_001331689,0
435,24066,Q9F4F7,0
436,6013,1JY1_A,0
437,33255,Q9F4F7,1
438,3331,Q99VQ4,0
439,3059,EMB09144,0
440,5073,P11411,0
441,91610,3F32_A,0
442,2092,2O23_A,1
443,1775,AAZ82016,0
444,4450,AAB59829,0
445,4170,2O23_A,1
446,53708,O86157,0
447,688561,P08659,0
448,60846,YP_001331689,0
449,10680,P0AF67,0
450,4507,AAA34498,0
451,71616,P98170,0
452,4943,1N8E_E,0
453,5583,Q07422,1
454,5333,P9WQ59,0
455,82153,AAA34498,0
456,9046,Q9F4F7,0
457,9926791,2B7A_A,1
458,9642,CCE37082,0
459,60606,AAS58777,0
460,2732,XP_717710,0
461,5819,2QQS_A,0
462,4567,NP_988635,0
463,4891,AAG02439,0
464,5564,Q965D5,1
465,5314,Q99VQ4,0
466,5505,NP_988635,0
467,4173,1ZHH_A,0
468,6005,2VM6_A,0
469,4756,2VM6_A,0
470,5323,ABJ55414,0
471,3180,1C3B_A,0
472,2170,1QCY_A,0
473,460,YP_002440506,0
474,3677,AAD17299,0
475,36314,CAC24715,0
476,657237,EDT84149,0
477,4212,AAX80043,0
478,2723601,YP_002440506,0
479,5280489,AAA34498,0
480,4764,AAA51985,0
481,4913,CAQ07474,0
482,33613,CAC24715,0
483,2435,1JY1_A,0
484,2266,BAA05005,0
485,5405,2QQS_A,0
486,5311,P08659,0
487,5994,CAA56931,0
488,5593,AAB59829,0
489,4775,AAS58777,0
490,5870,Q690N0,1
491,3759,P11021,0
492,3339,1OQA_A,0
493,3639,1ZHH_B,0
494,3339,Q99VQ4,0
495,2576,P9WQ59,0
496,5918,YP_002440506,0
497,3689,3F32_A,0
498,4044,BAC78637,0
499,3034010,1N8E_E,0
500,4100,CAH72619,0
501,36811,P21700,0
502,4078,AAX80043,0
503,54677971,2QQI_A,0
504,60877,AAC83551,0
505,16850,Q9F4F7,0
506,130313,BAA05005,0
507,10607,BAA05005,0
508,6041,2O23_A,0
509,4205,P11021,0
510,3151,CAA84846,0
511,999,P08659,0
512,5755,3F32_A,0
513,446596,O86157,0
514,2162,1N8E_E,0
515,15209,2W2I_A,0
516,2528,AAX80043,0
517,3559,ABN45876,0
518,3488,CAA97545,0
519,4748,P55210,0
520,34312,CAA84846,0
521,2247,CAA96025,0
522,4935,2ISV_A,0
523,51040,YP_001331689,0
524,5281004,ABC47431,0
525,24066,AAA51534,0
526,7184,P11021,0
527,4826,AAA51534,0
528,1986,AAZ82016,0
529,4168,AAX80043,0
530,2581,1ME3_A,0
531,6291,AAG02439,0
532,441207,1JY1_A,0
533,60857,AAA34498,0
534,6597,2VM6_A,0
535,9880,Q690N0,1
536,24066,CAI16307,0
537,5546,Q99VQ4,0
538,439280,ADQ57959,0
539,2733526,AAQ89316,0
540,4497,1DE9_A,0
541,5503,EDT84149,0
542,148192,Q99VQ4,0
543,5995,CAC24715,0
544,4075,YP_001085402,0
545,4843,O95372,0
546,2955,CCE37082,0
547,2351,2WWY_A,0
548,53708,P0AF67,0
549,24066,P08659,0
550,4235,ABY84639,0
551,667550,Q05DJ8,0
552,2950,ABY84639,0
553,2788,CAC24715,0
554,5329,CAM24989,0
555,3676,AAC46381,0
556,2335,CAQ07474,0
557,1676,1JY1_A,0
558,5362119,CAA56931,0
559,5546,AAC57158,0
560,123630,Q670S6,1
561,2197,BAA05005,0
562,3102,1ME3_A,0
563,34312,2QQS_A,0
564,60961,O95372,0
565,5920,AAN35928,0
566,4055,1JY1_A,0
567,5336,2QQS_A,0
568,8361,2WWY_A,0
569,2794,CAA96025,0
570,18283,O95372,0
571,71771,EDT84149,0
572,3463,AAA24585,0
573,2727,CAI16307,0
574,3151,AAH92442,0
575,5280805,1ZHH_A,0
576,3385,NP_988635,0
577,5430,CAC24715,0
578,3365,YP_001085402,0
579,5284594,2WWY_A,0
580,3053,P9WFX0,0
581,3404,P11021,0
