,cid,pid,activity
0,5311128,P21700,0.0
1,5311128,Q99VQ4,0.0
2,5284373,Q72547,1.0
3,5284373,Q9F4F7,0.0
4,5284373,O95372,0.0
5,5284373,P55210,0.0
6,5284373,P9WFX0,0.0
7,5284373,Q05DJ8,0.0
8,5284373,P08659,0.0
9,5284373,P9WQ59,0.0
10,5284373,P11021,0.0
11,5284373,P65502,0.0
12,5284373,O86157,0.0
13,5284373,P21700,0.0
14,5284373,Q99VQ4,0.0
15,448601,P21700,0.0
16,448601,Q99VQ4,0.0
17,1051,Q9F4F7,0.0
18,1051,P11021,0.0
19,1051,P08659,0.0
20,6274,Q6FTL6,1.0
21,6274,P08659,0.0
22,6274,P0AF67,0.0
23,6274,P11021,0.0
24,1060,Q9F4F7,0.0
25,1060,P11021,0.0
26,1060,P08659,0.0
27,6140,Q6FTL6,1.0
28,6140,P08659,0.0
29,6140,P0AF67,0.0
30,6140,Q9F4F7,0.0
31,6140,P11021,0.0
32,171548,P22629,1.0
33,171548,O95372,0.0
34,171548,P55210,0.0
35,171548,P00761,0.0
36,171548,Q9NPC2,0.0
37,171548,P9WFX0,0.0
38,171548,Q05DJ8,0.0
39,171548,P9WQ59,0.0
40,171548,Q02936,0.0
41,171548,P11021,0.0
42,171548,P65502,0.0
43,171548,O86157,0.0
44,171548,P08659,0.0
45,305,P08659,0.0
46,305,P0AF67,0.0
47,305,P11021,0.0
48,6322,P08659,0.0
49,6322,P0AF67,0.0
50,6322,P11021,0.0
51,6322,P21700,0.0
52,54670067,P0AF67,0.0
53,54670067,Q9F4F7,0.0
54,54670067,O95372,0.0
55,54670067,P55210,0.0
56,54670067,Q05DJ8,0.0
57,54670067,P08659,0.0
58,54670067,P9WQ59,0.0
59,54670067,P11021,0.0
60,54670067,P65502,1.0
61,54670067,O86157,0.0
62,5960,P08659,0.0
63,5960,P0AF67,0.0
64,5960,P11021,0.0
65,5960,P21700,0.0
66,6262,P50440,1.0
67,5961,Q9F4F7,0.0
68,5961,P11021,0.0
69,5961,P21700,0.0
70,6083,Q72874,1.0
71,6083,Q9F4F7,0.0
72,6083,P0A9J4,1.0
73,6083,P11021,0.0
74,6083,P08659,0.0
75,6083,P22629,0.0
76,5280934,Q9F4F7,1.0
77,5280934,P0AF67,0.0
78,5280934,O95372,0.0
79,5280934,P55210,0.0
80,5280934,P9WFX0,0.0
81,5280934,Q05DJ8,0.0
82,5280934,P08659,0.0
83,5280934,P9WQ59,0.0
84,5280934,P11021,0.0
85,5280934,P65502,0.0
86,5280934,O86157,0.0
87,5951,Q9F4F7,1.0
88,5951,P08659,0.0
89,5951,P0AF67,0.0
90,5951,P11021,0.0
91,6057,Q6FTL6,1.0
92,6057,Q50565,1.0
93,6057,P40881,1.0
94,6057,Q9F4F7,0.0
95,6057,Q4WAW7,0.0
96,6057,P11021,0.0
97,6057,P08659,0.0
98,5280453,P11411,0.0
99,5280453,P98170,0.0
100,5280453,Q9F4F7,0.0
101,5280453,O95372,0.0
102,5280453,P55210,0.0
103,5280453,Q9NPC2,0.0
104,5280453,P9WFX0,0.0
105,5280453,P08659,0.0
106,5280453,P11021,0.0
107,5280453,P21700,0.0
108,5280453,Q99VQ4,0.0
109,67678,Q9F4F7,0.0
110,67678,P11021,0.0
111,67678,P08659,0.0
112,1110,Q9F4F7,0.0
113,1110,P11021,0.0
114,1110,P08659,0.0
115,493570,P0AF67,0.0
116,493570,P08659,0.0
117,1738118,Q9F4F7,0.0
118,1738118,P11021,0.0
119,1738118,P08659,0.0
120,33032,Q03469,1.0
121,33032,Q9F4F7,1.0
122,33032,P08659,0.0
123,33032,P0AF67,0.0
124,33032,P11021,0.0
125,124886,P24473,1.0
126,124886,P9WFX0,0.0
127,124886,P08659,0.0
128,750,P08659,0.0
129,750,P0AF67,0.0
130,750,Q9F4F7,0.0
131,750,P11021,0.0
132,5283731,Q9F4F7,0.0
133,5283731,P9WFX0,0.0
134,5283731,P11021,0.0
135,5283731,P08659,0.0
136,5283731,P21700,0.0
137,5283731,Q99VQ4,0.0
138,6106,P08659,0.0
139,6106,P0AF67,0.0
140,6305,Q9X6J6,1.0
141,6305,Q50565,1.0
142,6305,Q6FTL6,1.0
143,6305,P40881,1.0
144,6305,P08659,0.0
145,6305,P0AF67,0.0
146,6305,Q9NPC2,0.0
147,6305,P11021,0.0
148,6305,P21700,0.0
149,5862,Q93UV0,1.0
150,5280793,O95372,0.0
151,5280793,P55210,0.0
152,5280793,Q05DJ8,0.0
153,5280793,P08659,0.0
154,5280793,P9WQ59,0.0
155,5280793,P11021,0.0
156,5280793,P65502,0.0
157,5280793,O86157,0.0
158,9750,Q9F4F7,0.0
159,9750,P11021,0.0
160,6288,P08659,0.0
161,446284,Q9F4F7,0.0
162,446284,P9WFX0,0.0
163,446284,P11021,0.0
164,446284,P08659,0.0
165,5950,P08659,0.0
166,5950,P0AF67,0.0
167,5950,Q9F4F7,0.0
168,5950,P11021,0.0
169,445354,P0AF67,0.0
170,445354,Q9F4F7,0.0
171,445354,O95372,0.0
172,445354,P55210,0.0
173,445354,Q9NPC2,0.0
174,445354,P9WFX0,0.0
175,445354,Q05DJ8,0.0
176,445354,P9WQ59,0.0
177,445354,Q02936,0.0
178,445354,P11021,0.0
179,445354,P65502,0.0
180,445354,O86157,0.0
181,445354,P08659,0.0
182,445354,Q99VQ4,0.0
183,14985,Q9F4F7,0.0
184,14985,O95372,0.0
185,14985,P55210,0.0
186,14985,Q9NPC2,0.0
187,14985,Q05DJ8,0.0
188,14985,P9WQ59,0.0
189,14985,P11021,0.0
190,14985,P65502,0.0
191,14985,O86157,0.0
192,14985,P08659,0.0
193,1054,P08659,0.0
194,1054,P0AF67,0.0
195,1054,Q9F4F7,0.0
196,1054,P11021,0.0
197,1054,Q99VQ4,0.0
198,6112,Q9F4F7,0.0
199,6112,P11021,0.0
200,6112,P21700,0.0
201,6112,O42713,1.0
202,5280795,P0AF67,0.0
203,5280795,Q9F4F7,0.0
204,5280795,P11021,0.0
205,4055,P28593,1.0
206,4055,P08659,0.0
207,4055,P0AF67,0.0
208,4055,P11411,1.0
209,4055,P98170,0.0
210,4055,Q9F4F7,0.0
211,4055,O95372,0.0
212,4055,P55210,0.0
213,4055,Q9NPC2,0.0
214,4055,P9WFX0,0.0
215,4055,Q05DJ8,0.0
216,4055,P9WQ59,0.0
217,4055,P11021,0.0
218,4055,P65502,0.0
219,4055,O86157,0.0
220,4055,Q99VQ4,0.0
221,145742,P08659,0.0
222,145742,P0AF67,0.0
223,145742,Q9F4F7,0.0
224,145742,P11021,0.0
225,190,Q9F4F7,0.0
226,190,O95372,0.0
227,190,P55210,0.0
228,190,Q9NPC2,0.0
229,190,P9WFX0,0.0
230,190,Q05DJ8,0.0
231,190,P9WQ59,0.0
232,190,Q02936,0.0
233,190,P11021,0.0
234,190,P65502,0.0
235,190,O86157,0.0
236,190,P08659,0.0
237,190,P22629,0.0
238,190,Q99VQ4,0.0
239,3404,P11021,0.0
240,3404,P08659,0.0
241,60846,P11411,0.0
242,60846,P98170,0.0
243,60846,Q9F4F7,0.0
244,60846,O95372,0.0
245,60846,P55210,0.0
246,60846,Q9NPC2,0.0
247,60846,P9WFX0,0.0
248,60846,P21700,0.0
249,60846,Q99VQ4,0.0
250,5362129,O95372,0.0
