,cid,pid,interaction
0,5311128,P21700,0
1,5311128,Q99VQ4,0
2,5284373,Q72547,1
3,5284373,Q9F4F7,0
4,5284373,O95372,0
5,5284373,P55210,0
6,5284373,P9WFX0,0
7,5284373,Q05DJ8,0
8,5284373,P08659,0
9,5284373,P9WQ59,0
10,5284373,P11021,0
11,5284373,P65502,0
12,5284373,O86157,0
13,5284373,P21700,0
14,5284373,Q99VQ4,0
15,448601,P21700,0
16,448601,Q99VQ4,0
17,1051,Q9F4F7,0
18,1051,P11021,0
19,1051,P08659,0
20,6274,Q6FTL6,1
21,6274,P08659,0
22,6274,P0AF67,0
23,6274,P11021,0
24,1060,Q9F4F7,0
25,1060,P11021,0
26,1060,P08659,0
27,6140,Q6FTL6,1
28,6140,P08659,0
29,6140,P0AF67,0
30,6140,Q9F4F7,0
31,6140,P11021,0
32,171548,P22629,1
33,171548,O95372,0
34,171548,P55210,0
35,171548,P00761,0
36,171548,Q9NPC2,0
37,171548,P9WFX0,0
38,171548,Q05DJ8,0
39,171548,P9WQ59,0
40,171548,Q02936,0
41,171548,P11021,0
42,171548,P65502,0
43,171548,O86157,0
44,171548,P08659,0
45,305,P08659,0
46,305,P0AF67,0
47,305,P11021,0
48,6322,P08659,0
49,6322,P0AF67,0
50,6322,P11021,0
51,6322,P21700,0
52,54670067,P0AF67,0
53,54670067,Q9F4F7,0
54,54670067,O95372,0
55,54670067,P55210,0
56,54670067,Q05DJ8,0
57,54670067,P08659,0
58,54670067,P9WQ59,0
59,54670067,P11021,0
60,54670067,P65502,1
61,54670067,O86157,0
62,5960,P08659,0
63,5960,P0AF67,0
64,5960,P11021,0
65,5960,P21700,0
66,6262,P50440,1
67,5961,Q9F4F7,0
68,5961,P11021,0
69,5961,P21700,0
70,6083,Q72874,1
71,6083,Q9F4F7,0
72,6083,P0A9J4,1
73,6083,P11021,0
74,6083,P08659,0
75,6083,P22629,0
76,5280934,Q9F4F7,1
77,5280934,P0AF67,0
78,5280934,O95372,0
79,5280934,P55210,0
80,5280934,P9WFX0,0
81,5280934,Q05DJ8,0
82,5280934,P08659,0
83,5280934,P9WQ59,0
84,5280934,P11021,0
85,5280934,P65502,0
86,5280934,O86157,0
87,5951,Q9F4F7,1
88,5951,P08659,0
89,5951,P0AF67,0
90,5951,P11021,0
91,6057,Q6FTL6,1
92,6057,Q50565,1
93,6057,P40881,1
94,6057,Q9F4F7,0
95,6057,Q4WAW7,0
96,6057,P11021,0
97,6057,P08659,0
98,5280453,P11411,0
99,5280453,P98170,0
100,5280453,Q9F4F7,0
101,5280453,O95372,0
102,5280453,P55210,0
103,5280453,Q9NPC2,0
104,5280453,P9WFX0,0
105,5280453,P08659,0
106,5280453,P11021,0
107,5280453,P21700,0
108,5280453,Q99VQ4,0
109,67678,Q9F4F7,0
110,67678,P11021,0
111,67678,P08659,0
112,1110,Q9F4F7,0
113,1110,P11021,0
114,1110,P08659,0
115,493570,P0AF67,0
116,493570,P08659,0
117,1738118,Q9F4F7,0
118,1738118,P11021,0
119,1738118,P08659,0
120,33032,Q03469,1
121,33032,Q9F4F7,1
122,33032,P08659,0
123,33032,P0AF67,0
124,33032,P11021,0
125,124886,P24473,1
126,124886,P9WFX0,0
127,124886,P08659,0
128,750,P08659,0
129,750,P0AF67,0
130,750,Q9F4F7,0
131,750,P11021,0
132,5283731,Q9F4F7,0
133,5283731,P9WFX0,0
134,5283731,P11021,0
135,5283731,P08659,0
136,5283731,P21700,0
