ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
CAI14764,0.90121776,-0.760029,-4.5855975,-0.07127929,0.13790777,-1.6357414,1.8477134,-0.71492505,-0.7142421,-0.36393437,-1.382937,-0.08074286,-0.099765554,-0.7416828,-0.011594671,-0.09446948,0.010549836,-0.7386515,0.19419087,-0.22060762,-0.305522,0.0625057,-0.90130764,0.5111659,0.043229952,-0.43598813,0.018731482,-0.6673809,-0.11622754,-0.08781729,-0.09173782,0.1589528,-0.3215326,0.5388387,-0.3615386,0.37004942,0.060070027,-0.054978225,-0.07011113,-0.30898914,0.1011733,-0.5689366,0.7898901,-0.1393405,0.07976983,-0.33621475,-0.0865048,-0.018261828,0.4602424,-0.5605805,-0.46588907,0.19007522,-0.5097511,-0.37962842,-0.014926662,0.17537725,-0.07927296,-0.10864255,0.15956254,0.13243511,0.04311072,-0.22765607,0.42251834,-0.43225074,0.12474992,0.07766217,-0.407367,0.5823534,-0.033293456,0.032347973,-0.34931278,-0.19978285,-0.13254584,-0.0810889,-0.24542862,-0.6039668,-0.36141443,0.56505907,-0.460763,-0.16068032,-0.089732386,0.2562753,-0.13237342,-0.010157995,0.51581997,0.048369806,0.32205123,0.07167041,0.99265254,0.5785155,-0.16976784,-0.05575328,-0.4745398,0.01896604,-0.18213122,-0.39046523,-0.5156453,0.16487393,0.22772871,-0.3760935
1XOZ_A,0.9132451,-0.37120855,-4.582825,0.18689583,0.15959005,-1.7022302,1.925435,-0.6962048,-0.73687613,-0.3451435,-1.4338571,-0.13587467,-0.09929764,-0.7910294,0.012686882,-0.11787251,-0.020859987,-0.7659418,0.21127896,-0.20766921,-0.29653513,0.10550772,-0.910593,0.54775995,0.069507755,-0.44973716,-0.0027273737,-0.67842275,-0.10835549,-0.09912093,-0.09069878,0.14541294,-0.30002353,0.5419198,-0.36945203,0.39089134,0.07336948,-0.07522499,-0.074173726,-0.34621236,0.08719364,-0.53622115,0.7868858,-0.11179795,0.077305965,-0.3412664,-0.0725298,0.014360644,0.44938773,-0.5449528,-0.4505372,0.14019819,-0.49988365,-0.39809433,-0.03928432,0.14185685,-0.09213962,-0.094872884,0.16332541,0.12955423,0.08175471,-0.25684157,0.42627612,-0.42969844,0.11029733,0.055480894,-0.41124755,0.5868607,-0.03333176,0.07004415,-0.37102816,-0.20922141,-0.11648426,-0.08665971,-0.23704812,-0.5984131,-0.34550887,0.53732383,-0.46689186,-0.17650509,-0.07903422,0.25284642,-0.11919086,-0.03519761,0.5127991,0.046286896,0.30280665,0.057663836,0.98624295,0.5649704,-0.18589522,-0.0706077,-0.4483714,0.02058022,-0.16739969,-0.36281344,-0.5194732,0.1506938,0.22816424,-0.36277643
O77823,0.74302834,4.8210506,-1.7412934,0.60104513,0.3411618,0.66861916,1.0029297,-0.89585567,-0.45574018,-0.3912473,-0.22911517,-0.7881672,-0.24227689,-0.40535766,-0.0010387725,-0.09257375,0.11122376,-0.49321294,0.061707,-0.48906252,-0.5054388,-0.13714355,-0.9662863,0.16965926,-0.23866436,-0.16978748,0.013841966,-0.20864296,-0.25051698,0.029044736,-0.103988156,-0.09889068,-0.003870073,0.479473,-0.30814257,0.20832495,0.08879077,-0.3301629,-0.012550529,-0.0772024,-0.102398306,-0.34679914,0.7482738,-0.21267498,-0.14364213,-0.093462214,0.22703531,-0.21665762,0.3741861,-0.5406147,-0.24213985,-0.03766476,-0.41915956,-0.18056126,0.0077617867,0.039081823,0.038961794,-0.005077662,0.14647804,0.14508176,0.152407,-0.0037211662,0.1627676,-0.16333126,0.36064345,0.046291415,-0.21572654,0.53361446,0.14517672,0.057198368,0.27543753,0.06823394,-0.21258335,-0.0074954545,-0.046245344,-0.4480113,0.02511029,0.23902963,-0.25720003,-0.18900529,-0.08231493,0.16500175,-0.1536322,-0.13222568,0.34004816,0.09909899,0.1916296,-0.0760011,0.54771864,0.4960143,-0.15709828,0.0029566614,-0.13612834,0.11599453,-0.16637328,-0.46739164,-0.42477918,0.19810411,-0.022593066,-0.23035887
1QCA_A,0.8890786,2.4676697,-3.6605992,0.7021727,0.24005252,-0.87782985,1.7670288,-0.8382462,-0.6745157,-0.3907856,-1.0674071,-0.5319661,-0.19846517,-0.7138074,0.028835522,-0.13697721,0.019096801,-0.7157612,0.17270195,-0.3587929,-0.44962215,0.03639494,-1.0094973,0.41483095,-0.07731596,-0.36141336,-0.00039106858,-0.5334162,-0.18802403,-0.035976987,-0.13893548,0.03359439,-0.15259148,0.55420077,-0.3874394,0.33537453,0.11513205,-0.24343441,-0.04259291,-0.286614,-0.031734645,-0.47665834,0.84341115,-0.15474902,-0.038980477,-0.23457241,0.09514262,-0.09168957,0.41108266,-0.5914911,-0.38239917,0.022776365,-0.506527,-0.3242913,-0.030454587,0.07491601,-0.042532057,-0.08123061,0.1578534,0.14699453,0.1757898,-0.14339639,0.33088332,-0.32717088,0.22265188,0.01764632,-0.3715051,0.6005152,0.05195506,0.098792456,-0.07476278,-0.09806045,-0.17769054,-0.056468055,-0.15433589,-0.5726145,-0.16938357,0.4152849,-0.42722443,-0.2060771,-0.06676287,0.22862744,-0.1657836,-0.1304933,0.46514887,0.10546599,0.25200203,-0.011676717,0.8573647,0.5877061,-0.1987052,-0.06673807,-0.31613916,0.083503574,-0.19148114,-0.42125875,-0.5154519,0.17600141,0.11844543,-0.2963851
Q99VQ4,0.91978836,-1.8472908,-5.2472816,-0.045192953,0.17116965,-2.2529633,2.0822656,-0.58883655,-0.78419507,-0.32106808,-1.7065222,0.08586464,-0.035672612,-0.8568909,0.0034898925,-0.14152749,-0.038962685,-0.8019536,0.24266571,-0.11457286,-0.19749698,0.15163364,-0.82657176,0.6293163,0.16712639,-0.49025884,-0.006667594,-0.7479321,-0.052529592,-0.14247935,-0.048380427,0.23387395,-0.39991993,0.5314774,-0.3516503,0.4380843,0.039974637,0.03985887,-0.096087,-0.39451703,0.1422305,-0.55288273,0.75227624,-0.08408834,0.14506744,-0.39668393,-0.1520628,0.06927027,0.45809248,-0.51994187,-0.49393597,0.20600602,-0.4879485,-0.44867164,-0.06487976,0.16343004,-0.10542284,-0.07213831,0.17014684,0.12637568,0.036347903,-0.32159588,0.4951951,-0.49556237,0.05249459,0.08818776,-0.4194272,0.5892044,-0.07501311,0.06456589,-0.53988737,-0.2943368,-0.05143446,-0.096384384,-0.29383913,-0.60556394,-0.4251658,0.5797143,-0.50193006,-0.15624426,-0.08374373,0.26596847,-0.054726165,0.028262243,0.54258955,0.013361489,0.32703677,0.075164385,1.0504328,0.5385861,-0.19256593,-0.07288409,-0.51384413,-0.01678203,-0.12423444,-0.3036592,-0.5127273,0.12951836,0.28564882,-0.39275926
Q4U254,0.9269714,0.024419054,-4.300248,0.06017958,0.094139725,-1.2860471,1.7398354,-0.797055,-0.6883681,-0.3958406,-1.2401928,-0.20646366,-0.14922659,-0.7302565,0.013600988,-0.07073536,-0.024454746,-0.74405795,0.19857973,-0.26888138,-0.35098308,0.07386248,-0.99256545,0.53913474,0.026446093,-0.44177485,0.01581674,-0.6487873,-0.1298478,-0.08974372,-0.108938664,0.08282829,-0.25067893,0.58516145,-0.39333913,0.38812977,0.076101646,-0.12252997,-0.072577685,-0.29829276,0.090322845,-0.5515022,0.8236518,-0.14499992,0.059942964,-0.32156393,-0.06140235,-0.029030299,0.49879456,-0.56499165,-0.44787177,0.121925846,-0.5171609,-0.3877665,-0.011961648,0.15770996,-0.0894368,-0.11185344,0.17476918,0.1399619,0.071477905,-0.24166746,0.39669585,-0.41132122,0.15605287,0.05349781,-0.4054866,0.5948316,-0.023252767,0.03772033,-0.29496533,-0.15137902,-0.14720774,-0.07875951,-0.2109825,-0.61735296,-0.34300986,0.5701182,-0.44781768,-0.17259048,-0.093306005,0.26318967,-0.16125764,-0.040192414,0.516786,0.047444317,0.30058596,0.066605106,1.0111836,0.59243894,-0.18060318,-0.04860047,-0.45485955,0.033775028,-0.2053929,-0.42990547,-0.56988823,0.16764472,0.20979406,-0.36817616
Q9UUZ4,0.85667455,-3.2893682,-4.966096,-0.6855686,0.240855,-2.1441464,1.7883195,-0.44219097,-0.71746427,-0.2753636,-1.562173,0.35123065,0.050775304,-0.73563623,-0.033572417,-0.15681478,-0.031899534,-0.71859,0.21352986,-0.046272367,-0.0857568,0.1138079,-0.64306796,0.5744503,0.18539122,-0.43556812,0.0028110822,-0.69169813,0.0061551095,-0.1721027,0.029842304,0.3520372,-0.5102218,0.45099053,-0.25080368,0.4260322,-0.047394343,0.15608568,-0.12768501,-0.32052064,0.1773902,-0.54012173,0.66349125,-0.11931441,0.16446562,-0.4197546,-0.22863723,0.07622143,0.43079582,-0.50412977,-0.5019998,0.36197782,-0.4362586,-0.4402237,-0.07139433,0.20776567,-0.09795129,0.019905811,0.15949808,0.13631329,-0.05130941,-0.28792134,0.5163134,-0.5114588,0.051630344,0.16320002,-0.3643913,0.53174895,-0.066489264,0.020249272,-0.5892135,-0.34265575,0.040229276,-0.091661796,-0.37209293,-0.5762435,-0.45354304,0.5467739,-0.4955396,-0.09361671,-0.12823288,0.24611321,0.066799864,0.13794239,0.5717692,-0.04907609,0.32167256,0.063383766,0.99104995,0.4196178,-0.14231469,-0.009714988,-0.53242636,-0.050201096,-0.058254488,-0.27316695,-0.39605772,0.14854552,0.29327747,-0.4254761
P04174,0.80738723,3.8999357,-2.4591289,0.5937486,0.29331118,0.042951964,1.2745861,-0.8755378,-0.53678155,-0.40400958,-0.5447408,-0.6888063,-0.231526,-0.49844113,0.004092429,-0.10758818,0.06685693,-0.5640716,0.09499509,-0.43653846,-0.48545787,-0.063952394,-0.99570566,0.25664353,-0.18815206,-0.2381041,0.015506,-0.32232133,-0.2154211,0.010758726,-0.12515089,-0.044893645,-0.06286132,0.50930655,-0.3328015,0.24375312,0.091016605,-0.29543403,-0.02529257,-0.1457207,-0.07240938,-0.3885504,0.78141475,-0.19564413,-0.117276065,-0.16131975,0.17251258,-0.180198,0.38751408,-0.5677581,-0.3038461,-0.002588008,-0.45119193,-0.22965379,-0.020261096,0.05956281,0.005026197,-0.026018016,0.14743437,0.14450416,0.18096876,-0.047855522,0.22908431,-0.21300964,0.3110682,0.03562931,-0.28410405,0.52870446,0.10467787,0.07347716,0.15297934,0.003011069,-0.19596973,-0.029693197,-0.10574719,-0.49908856,-0.05030911,0.30663928,-0.33761555,-0.18341081,-0.09108012,0.1799989,-0.14545013,-0.12609926,0.38359332,0.08744052,0.20528543,-0.051537894,0.6753145,0.5208543,-0.16133958,-0.019286243,-0.20346732,0.10260755,-0.19094144,-0.4535799,-0.45148072,0.21395436,0.026277822,-0.25431976
2XTK_A,0.8688136,1.2208176,-3.984228,0.5500705,0.23320897,-1.3299471,1.8516072,-0.7205226,-0.7026944,-0.3364969,-1.2421442,-0.34665522,-0.13472338,-0.743997,0.021733208,-0.13631774,0.017263353,-0.7226977,0.184834,-0.26410034,-0.3597641,0.061816905,-0.9180249,0.44618702,-0.013021701,-0.38890493,-0.00981603,-0.57996005,-0.15195623,-0.05673081,-0.11040381,0.09789962,-0.21514781,0.5104428,-0.36148793,0.33858418,0.0974172,-0.15922467,-0.049513634,-0.31870064,0.015585142,-0.4768007,0.78102154,-0.11627262,0.011084073,-0.2817032,0.02160752,-0.02964457,0.39019546,-0.5429356,-0.39260903,0.07594445,-0.4838051,-0.3450508,-0.039295245,0.09565349,-0.052765474,-0.08480105,0.14660005,0.12809618,0.13779637,-0.1849727,0.36338782,-0.35342103,0.1545558,0.034410764,-0.38168862,0.57331353,0.022855246,0.09617619,-0.20943657,-0.15616132,-0.15415458,-0.07599954,-0.18309534,-0.5582671,-0.23471461,0.4349097,-0.43151993,-0.19840406,-0.05777601,0.22407952,-0.12807237,-0.093915194,0.45749545,0.0802996,0.26797426,0.016489591,0.85869056,0.55617505,-0.18474732,-0.074777395,-0.34880036,0.053897675,-0.16586353,-0.3657258,-0.4767036,0.161849,0.16024396,-0.3125324
3AXZ_A,0.8987049,1.4399313,-3.7201898,0.23957926,0.18728985,-0.8075154,1.605707,-0.8467729,-0.6523427,-0.4107053,-1.0064816,-0.39639917,-0.18620695,-0.6665179,0.014063312,-0.108507484,0.008648905,-0.706732,0.17416658,-0.34595767,-0.429004,0.022352332,-1.003674,0.43084356,-0.06753583,-0.37367555,0.022139024,-0.55663234,-0.16620858,-0.055260573,-0.1254097,0.07293542,-0.20452055,0.5652094,-0.37670693,0.35139468,0.08235054,-0.20002787,-0.05992745,-0.2564877,0.010902314,-0.5215193,0.8489833,-0.18524314,-0.016320705,-0.26195225,0.032310363,-0.09909581,0.4517088,-0.6127666,-0.41882464,0.104928076,-0.519269,-0.3391202,-0.013768898,0.12523495,-0.051859815,-0.07798051,0.16307372,0.1585146,0.121504165,-0.14543468,0.35617638,-0.3589181,0.22493084,0.050282612,-0.378394,0.59635854,0.04163204,0.052838348,-0.11763071,-0.110511445,-0.15743296,-0.05970259,-0.19462906,-0.6032315,-0.23260134,0.4785556,-0.4438299,-0.17597315,-0.095902,0.24373868,-0.15259753,-0.0755248,0.5086989,0.0787907,0.26794156,0.010655544,0.92164963,0.5819512,-0.17782626,-0.03318286,-0.38166407,0.07071063,-0.20069215,-0.4557329,-0.5223897,0.19261457,0.14192042,-0.3378035
