receptor,helical,beta,coil,veryBuried,veryExposed,someBuried,someExposed
10GS_A,0.536,0.096,0.368,0.292,0.254,0.234,0.220
1A2C_H,0.089,0.378,0.533,0.313,0.301,0.212,0.174
1A30_A,0.091,0.475,0.434,0.192,0.354,0.273,0.182
1A42_A,0.143,0.313,0.544,0.286,0.263,0.224,0.228
1A4G_A,0.000,0.428,0.572,0.387,0.192,0.277,0.144
1AF6_A,0.000,0.494,0.506,0.439,0.202,0.247,0.112
1AFK_A,0.218,0.185,0.597,0.185,0.403,0.202,0.210
1AI4_A,0.598,0.043,0.359,0.278,0.268,0.273,0.182
1AI4_B,0.271,0.208,0.521,0.379,0.167,0.287,0.167
1AJ6_A,0.237,0.311,0.452,0.306,0.224,0.233,0.237
1AJV_A,0.091,0.475,0.434,0.202,0.364,0.242,0.192
1AKQ_A,0.442,0.197,0.361,0.279,0.286,0.211,0.224
1AKR_A,0.442,0.204,0.354,0.286,0.286,0.197,0.231
1AKT_A,0.449,0.197,0.354,0.286,0.299,0.190,0.224
1AKW_A,0.442,0.190,0.367,0.286,0.286,0.190,0.238
1AMN_A,0.343,0.114,0.544,0.391,0.205,0.236,0.168
1AQ7_A,0.090,0.381,0.529,0.300,0.283,0.265,0.152
1AVD_A,0.047,0.500,0.453,0.250,0.336,0.227,0.188
1AXR_A,0.542,0.101,0.357,0.414,0.178,0.229,0.178
1AZL_A,0.442,0.184,0.374,0.286,0.286,0.190,0.238
1B4D_A,0.542,0.101,0.357,0.414,0.179,0.230,0.176
1BM7_A,0.047,0.433,0.520,0.252,0.331,0.236,0.181
1BQI_A,0.208,0.203,0.590,0.302,0.222,0.283,0.193
1BR6_A,0.388,0.183,0.429,0.276,0.287,0.216,0.220
1C3B_A,0.330,0.151,0.520,0.363,0.218,0.251,0.168
1C6Y_A,0.101,0.465,0.434,0.212,0.394,0.242,0.152
1C7E_A,0.442,0.204,0.354,0.279,0.286,0.218,0.218
1CEA_A,0.000,0.170,0.830,0.080,0.523,0.227,0.170
1CQP_A,0.374,0.214,0.412,0.275,0.308,0.220,0.198
1CZC_A,0.447,0.141,0.412,0.404,0.179,0.232,0.184
1CZK_A,0.373,0.225,0.402,0.296,0.278,0.207,0.219
1CZL_A,0.367,0.225,0.408,0.296,0.278,0.207,0.219
1CZR_A,0.367,0.225,0.408,0.296,0.278,0.201,0.225
1D5R_A,0.241,0.272,0.488,0.284,0.244,0.284,0.188
1DB1_A,0.641,0.008,0.351,0.290,0.232,0.239,0.239
1DBB_H,0.000,0.470,0.530,0.201,0.329,0.219,0.251
1DBB_L,0.000,0.468,0.532,0.171,0.380,0.264,0.185
1DE9_A,0.254,0.290,0.457,0.359,0.283,0.236,0.123
1DF8_A,0.000,0.512,0.488,0.236,0.339,0.252,0.173
1DHI_A,0.220,0.333,0.447,0.277,0.270,0.214,0.239
